SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
Andaman & Nicobar Islands,2000,29.75,2763.2,
Andaman & Nicobar Islands,2001,29.99,3080.9,
Andaman & Nicobar Islands,2002,30.23,2620.2,
Andaman & Nicobar Islands,2003,29.75,2355.9,
Andaman & Nicobar Islands,2004,29.79,2460.1,
Andaman & Nicobar Islands,2005,29.6,2954.7,
Andaman & Nicobar Islands,2006,30.06,2404.7,
Andaman & Nicobar Islands,2007,29.84,2748.0,
Andaman & Nicobar Islands,2008,29.64,3374.8,
Andaman & Nicobar Islands,2009,30.3,2538.6,
Andaman & Nicobar Islands,2010,30.13,3157.1,
