SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
East Madhya Pradesh,2000,29.75,874.2,
East Madhya Pradesh,2001,29.99,1170.1,
East Madhya Pradesh,2002,30.23,950.2,
East Madhya Pradesh,2003,29.75,1438.1,
East Madhya Pradesh,2004,29.79,955.3,
East Madhya Pradesh,2005,29.6,1366.4,
East Madhya Pradesh,2006,30.06,943.4,16.0
East Madhya Pradesh,2007,29.84,653.8,51.0
East Madhya Pradesh,2008,29.64,1003.2,3.0
East Madhya Pradesh,2009,30.3,943.9,1467.0
East Madhya Pradesh,2010,30.13,960.4,175.0
