SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
Haryana Delhi & Chandigarh,2000,29.75,384.4,182.0
Haryana Delhi & Chandigarh,2001,29.99,485.5,582.0
Haryana Delhi & Chandigarh,2002,30.23,357.2,48.0
Haryana Delhi & Chandigarh,2003,29.75,597.6,2977.0
Haryana Delhi & Chandigarh,2004,29.79,487.3,631.0
Haryana Delhi & Chandigarh,2005,29.6,519.5,1206.0
Haryana Delhi & Chandigarh,2006,30.06,330.9,4204.0
Haryana Delhi & Chandigarh,2007,29.84,446.6,913.0
Haryana Delhi & Chandigarh,2008,29.64,710.4,2449.0
Haryana Delhi & Chandigarh,2009,30.3,395.4,1278.0
Haryana Delhi & Chandigarh,2010,30.13,640.5,7125.0
