SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
Madhya Maharashtra,2000,29.75,701.6,66.0
Madhya Maharashtra,2001,29.99,785.1,54.0
Madhya Maharashtra,2002,30.23,740.3,370.0
Madhya Maharashtra,2003,29.75,772.6,772.0
Madhya Maharashtra,2004,29.79,1029.5,856.0
Madhya Maharashtra,2005,29.6,1221.3,349.0
Madhya Maharashtra,2006,30.06,1395.7,736.0
Madhya Maharashtra,2007,29.84,1040.4,614.0
Madhya Maharashtra,2008,29.64,916.9,743.0
Madhya Maharashtra,2009,30.3,941.7,2255.0
Madhya Maharashtra,2010,30.13,1027.5,1489.0
