SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
North Interior Karnataka,2000,29.75,712.4,196.0
North Interior Karnataka,2001,29.99,598.0,220.0
North Interior Karnataka,2002,30.23,530.5,428.0
North Interior Karnataka,2003,29.75,473.5,1226.0
North Interior Karnataka,2004,29.79,641.9,291.0
North Interior Karnataka,2005,29.6,807.5,587.0
North Interior Karnataka,2006,30.06,650.6,109.0
North Interior Karnataka,2007,29.84,836.9,230.0
North Interior Karnataka,2008,29.64,712.4,339.0
North Interior Karnataka,2009,30.3,913.5,1764.0
North Interior Karnataka,2010,30.13,853.2,2285.0
