SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
Sub Himalayan West Bengal & Sikkim,2000,29.75,2908.0,
Sub Himalayan West Bengal & Sikkim,2001,29.99,2612.6,
Sub Himalayan West Bengal & Sikkim,2002,30.23,2547.0,
Sub Himalayan West Bengal & Sikkim,2003,29.75,2723.3,
Sub Himalayan West Bengal & Sikkim,2004,29.79,2714.7,
Sub Himalayan West Bengal & Sikkim,2005,29.6,2807.7,
Sub Himalayan West Bengal & Sikkim,2006,30.06,2262.1,
Sub Himalayan West Bengal & Sikkim,2007,29.84,2638.9,
Sub Himalayan West Bengal & Sikkim,2008,29.64,2689.9,
Sub Himalayan West Bengal & Sikkim,2009,30.3,2324.6,
Sub Himalayan West Bengal & Sikkim,2010,30.13,2612.3,
