SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
West Madhya Pradesh,2000,29.75,,
West Madhya Pradesh,2001,29.99,787.0,
West Madhya Pradesh,2002,30.23,684.1,
West Madhya Pradesh,2003,29.75,946.4,
West Madhya Pradesh,2004,29.79,848.1,
West Madhya Pradesh,2005,29.6,752.2,
West Madhya Pradesh,2006,30.06,1169.2,16.0
West Madhya Pradesh,2007,29.84,806.5,51.0
West Madhya Pradesh,2008,29.64,791.1,3.0
West Madhya Pradesh,2009,30.3,877.0,1467.0
West Madhya Pradesh,2010,30.13,776.3,175.0
