SUBDIVISION,YEAR,ANNUAL_TEMP,ANNUAL_RAINFALL,Dengue cases
West Uttar Pradesh,2000,29.75,771.4,0.0
West Uttar Pradesh,2001,29.99,661.7,21.0
West Uttar Pradesh,2002,30.23,625.2,0.0
West Uttar Pradesh,2003,29.75,1047.5,738.0
West Uttar Pradesh,2004,29.79,642.3,8.0
West Uttar Pradesh,2005,29.6,725.7,121.0
West Uttar Pradesh,2006,30.06,529.3,639.0
West Uttar Pradesh,2007,29.84,572.5,132.0
West Uttar Pradesh,2008,29.64,799.8,51.0
West Uttar Pradesh,2009,30.3,549.2,168.0
West Uttar Pradesh,2010,30.13,820.7,960.0
